"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Hybrid and Electric Powertrain Controls Software Engineer"," Continental Corporation  ","MI","Auburn Hills","$62k-$102k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=422&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_84e46b4f&cb=1542669764980&jobListingId=3024546235"," 30+ days ago"
"Intern - Software Engineering"," Continental  ","MI","Dearborn","$39k-$66k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=423&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3ded34d0&cb=1542669764981&jobListingId=3029374988"," 1 day ago"
"ADAS Software Process Quality Engineer"," Continental  ","MI","Auburn Hills","$49k-$100k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=424&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4ac5a8c6&cb=1542669764983&jobListingId=3023775573"," 6 days ago"
"Software Customer Test Engineer"," Continental  ","MI","Auburn Hills","$70k-$85k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=425&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a7842540&cb=1542669764985&jobListingId=3024322324"," 5 days ago"
"Intern - Project Management"," Continental  ","MI","Auburn Hills","$51k-$73k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=426&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6161bd34&cb=1542669764986&jobListingId=3029374975"," 1 day ago"
"Intern - Function Development & Vehicle Integration, Summer"," Continental  ","MI","Brimley","","Brimley, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=427&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7d99b5cb&cb=1542669764987&jobListingId=3029374966"," 1 day ago"
"Metrology Engineer"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=428&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7da2a36d&cb=1542669764988&jobListingId=3024627857"," 30+ days ago"
"Intern - Common Solutions Engineering, Summer"," Continental  ","MI","Troy","$54k-$88k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=429&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c5d88eb8&cb=1542669764990&jobListingId=3029374979","7 days ago"
"Software Technical Project Leader"," Continental  ","MI","Troy","$67k-$103k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=430&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_15b8a616&cb=1542669764991&jobListingId=3023160684"," 6 days ago"
"Retail Sales Teammate"," Bridgestone Americas, Inc.  ","MI","Grand Rapids","","Grand Rapids, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=501&ao=431778&s=149&guid=000001672e488b639f12b6ab50e7a307&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5c7eeb52&cb=1542669765673&jobListingId=3022009087"," 8 days ago"
"Intern - Vehicle Dynamics Business Unit Purchasing, Summer"," Continental  New","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=501&ao=177462&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_dbd4753a&cb=1542669765675&jobListingId=3029374965","7 days ago"
"Intern - OE Supply Chain"," Continental  ","MI","Auburn Hills","$44k-$72k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=502&ao=177462&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bc76f861&cb=1542669765676&jobListingId=3029374990","7 days ago"
"Intern - Trade Compliance Analyst"," Continental Corporation  ","MI","Auburn Hills","$37k-$51k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=503&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c6b0ce13&cb=1542669765677&jobListingId=3024707767"," 30 days ago"
"HEV NPL Operations Engineering - Supply Chain Manager"," Continental  ","MI","Dearborn","$76k-$111k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=504&ao=177462&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_04e8a2db&cb=1542669765678&jobListingId=3027517392","7 days ago"
"Manager of Quality Management Systems (QMS)"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=505&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f587d9ed&cb=1542669765679&jobListingId=3024647392"," 30+ days ago"
"Intern - Electrical Engineer"," Continental  ","MI","Auburn Hills","$41k-$66k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=506&ao=177462&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9c629212&cb=1542669765680&jobListingId=3029374970","7 days ago"
"Intern - OE Supply Chain"," Continental Corporation  ","MI","Auburn Hills","$41k-$66k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=507&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3dc2b4d7&cb=1542669765681&jobListingId=3024578166"," 30+ days ago"
"Infrastructure Electrician"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=508&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_28831c8d&cb=1542669765682&jobListingId=3024574694"," 30+ days ago"
"Test Engineer - Power Electronics"," Continental Corporation  ","MI","Dearborn","$64k-$75k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=509&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fa6773fb&cb=1542669765683&jobListingId=3024695232"," 30+ days ago"
"Product Industrialization (PI) Curing Engineer"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=510&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2c794ed4&cb=1542669765685&jobListingId=3024726346"," 30+ days ago"
"Key User Execution Systems (Manufacturing Execution System Specialist)"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=511&ao=189299&s=58&guid=000001672e488b63a3e542dafec035e4&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a54e4a4e&cb=1542669765686&jobListingId=3024581046"," 30+ days ago"
